step_sequence_number,iteration,condition,write_algorithm,read_algorithm,session_id,write_latency_ms,flush_latency_ms,total_bytes_written,handoff_latency_ms,context_payload_bytes,context_token_count,compression_ratio,input_token_delta,estimated_cost_usd,input_tokens_used,output_tokens_used,simulator_input_tokens,simulator_output_tokens,handoff_input_tokens,handoff_output_tokens,execution_latency_ms,simulated_wan_latency_ms,wan_simulation_active,retrieval_accuracy_score,state_integrity_score,extra
0,0,C0_Baseline,W0,R0,b3f06f83-c377-4d07-aff7-3daa641e2b62,0.0027686250021474734,0.0027686250021474734,3998,3269.858567999961,4458,884,1.0,0,0.002034,3598,1046,2714,816,884,230,14862.304,0.0,False,1.0,0.0,{}
1,1,C0_Baseline,W0,R0,1c4802e9-aa4d-47b0-8b44-b7a7f8c706eb,0.0026506250065949644,0.0026506250065949644,3541,4417.468065999969,4026,912,1.0,0,0.002507,3652,1163,2740,844,912,319,16937.562,0.0,False,1.0,0.0,{}
2,2,C0_Baseline,W0,R0,780adf19-305f-469c-8417-a8add8f221d4,0.002105000007190938,0.002105000007190938,3280,3806.375381000066,3763,886,1.0,0,0.002531,3607,1146,2721,817,886,329,14342.291,0.0,False,1.0,1.0,{}
3,0,C1_W1_Selective,W1,R0,7ecb2f4e-9c96-4b89-9fca-c82682895319,0.23877487500101324,0.007668749987033152,3474,4537.362415000075,3964,944,1.0,0,0.002509,3727,1188,2783,875,944,313,16481.013,0.0,False,1.0,1.0,"{""flush_ratio"": 0.5, ""available_trace_ratio"": 0.875}"
4,1,C1_W1_Selective,W1,R0,a1aaed1e-2d9c-4282-8c36-d9ad5302f9a5,0.2009388749968366,0.004025749973379789,3417,3936.3756149999745,3911,905,1.0,0,0.00244,3648,1143,2743,836,905,307,15962.574,0.0,False,1.0,0.75,"{""flush_ratio"": 0.5, ""available_trace_ratio"": 0.875}"
5,2,C1_W1_Selective,W1,R0,b8fee022-fa62-42e2-bcc2-4f1a3fbbcd31,0.2290132500064601,0.004366500036212528,5237,4423.78432299995,5791,1346,1.0,0,0.002761,4268,1560,2922,1277,1346,283,21556.532,0.0,False,1.0,0.0,"{""flush_ratio"": 0.5, ""available_trace_ratio"": 0.875}"
6,0,C1_W2_WAL,W2,R0,64d20ad8-1817-4610-9741-792fd6736905,0.30265737501622425,0.5299260000128925,3363,5862.803196999948,3841,943,1.0,0,0.002513,3713,1191,2770,877,943,314,18233.344,0.0,False,1.0,1.0,"{""avg_batch_size"": 8.0}"
7,1,C1_W2_WAL,W2,R0,04286ade-b8d3-4f8b-9520-be0ddf91ffc1,0.2669021249914749,0.3751990000182559,3379,3680.93786299994,3856,967,1.0,0,0.002382,3765,1182,2798,899,967,283,16667.439,0.0,False,0.95,0.0,"{""avg_batch_size"": 8.0}"
8,2,C1_W2_WAL,W2,R0,ad2dbf22-f838-4876-bbc4-dfabbd1035ac,0.4428118750183785,0.4546740000250793,3372,3960.5794349999996,3829,917,1.0,0,0.002467,3666,1158,2749,848,917,310,15224.381,0.0,False,1.0,0.25,"{""avg_batch_size"": 8.0}"
9,0,C1_W3_CRDT,W3,R0,f0f0574d-653f-44f7-8540-fe5bb106660c,0.26276037500849725,0.08943900002122973,6584,3397.700534999899,4669,1315,1.0,0,0.002955,4085,1576,2770,1248,1315,328,16956.107,0.0,False,1.0,1.0,"{""crdt_overhead_bytes"": 2591}"
10,1,C1_W3_CRDT,W3,R0,1ebadabf-fb93-4bf1-a3cc-19e4bb6a3ded,0.2178473750120702,0.05069500002718996,6033,3659.6790480000436,4120,899,1.0,0,0.002199,3521,1098,2622,838,899,260,15342.227,0.0,False,1.0,1.0,"{""crdt_overhead_bytes"": 2398}"
11,2,C1_W3_CRDT,W3,R0,26af06a4-49e6-472b-b70b-0067ec8b4784,0.3294681250025633,0.07506099996135163,5929,3551.1821779999764,4018,997,1.0,0,0.002667,3827,1263,2830,929,997,334,16784.96,0.0,False,1.0,1.0,"{""crdt_overhead_bytes"": 2388}"
12,0,C1_W4_Adaptive,W4,R0,d5f84eb3-2567-4a8b-a4b9-1a9cfc676e7f,0.26456600001267816,0.016068000036284502,3263,3821.209186000033,3742,976,1.0,0,0.002591,3781,1230,2805,907,976,323,15413.457,0.0,False,1.0,1.0,"{""preflush_accuracy"": 0.0}"
13,1,C1_W4_Adaptive,W4,R0,affdb02a-ac3b-43f2-9b0d-4b20cd626825,0.2810269999997672,0.012336999930084858,3068,3145.206452000025,3547,777,1.0,0,0.002097,3292,980,2515,716,777,264,15513.093,0.0,False,0.95,0.75,"{""preflush_accuracy"": 0.0}"
14,2,C1_W4_Adaptive,W4,R0,e6b42de4-035a-402d-adba-b5c40bd2f518,0.21156362502949833,0.010796000083246327,3641,3553.9295070000207,4101,944,1.0,0,0.002434,3713,1175,2769,877,944,298,16143.125,0.0,False,0.95,0.0,"{""preflush_accuracy"": 0.0}"
