metric,baseline,comparison,n,statistic,p_value,significant_p05,effect_size,median_reduction
state_integrity_score,D_W0_R0,D_W0_R1,10,12.0,0.625,False,0.2691909504493726,0.125
state_integrity_score,D_W0_R0,D_W0_R2,10,7.0,0.796875,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W0_R3,10,3.0,0.953125,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W0_R4,10,0.0,1.0,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W1_R0,10,16.0,0.421875,False,0.8075728513481177,0.375
state_integrity_score,D_W0_R0,D_W1_R1,10,1.5,0.96875,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W1_R2,10,1.0,0.96875,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W1_R3,10,3.5,0.9375,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W1_R4,10,0.0,1.0,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W2_R0,10,6.0,0.6875,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W2_R1,10,4.0,0.875,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W2_R2,10,19.0,0.25,False,1.6151457026962355,0.75
state_integrity_score,D_W0_R0,D_W2_R3,10,1.5,0.96875,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W2_R4,10,1.0,0.96875,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W3_R0,10,14.5,0.5,False,0.8075728513481177,0.375
state_integrity_score,D_W0_R0,D_W3_R1,10,16.0,0.390625,False,1.0767638017974903,0.5
state_integrity_score,D_W0_R0,D_W3_R2,10,1.5,0.96875,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W3_R3,10,3.0,0.953125,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W3_R4,10,0.0,1.0,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W4_R0,10,4.5,0.625,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W4_R1,10,17.0,0.58203125,False,0.5383819008987452,0.25
state_integrity_score,D_W0_R0,D_W4_R2,10,1.5,0.9375,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W4_R3,10,3.5,0.9375,False,0.0,0.0
state_integrity_score,D_W0_R0,D_W4_R4,10,0.0,1.0,False,0.0,0.0
